benchmark_func,is_shared_fitness,population_size,ngen,best_fitness,best_individual,time (s)
bohachevsky,True,100,500,"(1.260833397930101,)","[0.6148776025380143, -0.324506080087562]",3.6827950477600098
bohachevsky,True,100,1000,"(0.0,)","[8.790690999637973e-10, -1.0411093379675187e-09]",7.29663872718811
bohachevsky,True,100,5000,"(0.0,)","[2.6473837737173208e-09, -4.3995161988670365e-10]",36.26975083351135
bohachevsky,True,100,10000,"(0.0,)","[2.321706651410644e-09, 7.971634261965023e-10]",72.46634364128113
schaffer,False,50,500,"(0.0009740923931230288,)","[-2.24831889836961e-07, 9.210322501865777e-07]",0.26554417610168457
schaffer,False,50,1000,"(0.0028754600114111895,)","[-6.347513881669508e-09, 3.309509737492565e-06]",0.5310626029968262
schaffer,False,50,5000,"(0.00016645283817574977,)","[1.7025942922057312e-09, 7.753691053648346e-09]",2.6217222213745117
schaffer,False,50,10000,"(2.3979188092134924e-06,)","[-3.517998343649555e-17, 4.989678056697503e-12]",5.3134729862213135
schaffer,True,50,500,"(4.543133256047975,)","[-20.19117218305844, -0.6267603165788671]",1.1814637184143066
schaffer,True,50,1000,"(5.492950813704484,)","[-9.008912854586356, -9.937060807603928]",2.3401453495025635
schaffer,True,50,5000,"(3.7507087248799427,)","[-1.4892542288870505, 11.758977789582794]",11.43668508529663
schaffer,True,50,10000,"(2.10588190497187,)","[2.2566125855741537, 2.3262962537808383]",23.142237663269043
schaffer,False,100,500,"(6.015722871274533e-50,)","[-1.1692904242448686e-99, -3.4247832655195592e-99]",0.524763822555542
schaffer,False,100,1000,"(0.005471223831431386,)","[-2.28191966644964e-05, -1.893317357205288e-05]",1.032297134399414
schaffer,False,100,5000,"(7.155424440840853e-14,)","[-2.863252655702716e-29, -5.11992905193532e-27]",5.175363302230835
schaffer,False,100,10000,"(3.150160413333962e-09,)","[-1.3978272850314315e-18, 9.81665776504017e-18]",10.198408603668213
schaffer,True,100,500,"(0.31243673794843163,)","[0.09393348147691993, 0.025272885260503655]",3.6612284183502197
schaffer,True,100,1000,"(4.263368445261344,)","[-5.420166137540814, 16.14393593783383]",7.247806549072266
schaffer,True,100,5000,"(0.4995688491717052,)","[-0.22614306788392297, 0.09761208475528471]",36.554404497146606
schaffer,True,100,10000,"(5.057777430888821,)","[9.190794464898772, -9.906297895752829]",74.75398802757263
